code,product_name,brands,categories,ingredients_text,allergens,labels,countries,serving_size,nutriscore_grade,energy_kcal_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g
0009040603394,Riz au lait Vanille de Madagascar,Marie Morin,"desserts, puddings, rice puddings, vanilla flavored rice pudding","Lait demi-écrémé origine France (Bretagne), riz rond de Camargue 8%, sucre, beurre salé, extrait de vanille origine Madagascar.",milk,"fsc, fsc mix, produced in brittany",france,,c,111.0,3.3,2.2,17.0,11.0,0.0,3.3,0.07
0009300001328,Sweet Herb Bread & Butter Chips,Mt. Olive,salted snacks,"Cucumbers, sugar, water, vinegar, sea salt, red bell pepper, mustard seeds, onion flakes, calcium chloride (firming agent), celery seeds, polysorbate 80, natural flavors, and turmeric (for color).",,"vegetarian, no gluten, vegan",united states,1 one (28 g),,107.142857142857,0.0,0.04761625,25.0,25.0,0.7281375,0.0,1.96428571428571
0009499957864,Frikadellen,THE Deli,"meats and their products, meat preparations, meat balls","Pork 81%, Breadcrumbs(Wheat Flour, Water, Salt, Yeast), Onion, Pasteurised Egg, Salt, Wheat Starch, Sunflower Oil, Dextrose, Mustard(Water, Mustard Seeds, Spirit Vinegar, Sugar, Salt), Dried Parsley, Parsnip Powder, Dried Lovage, Ground Ginger, Garlic Powder, Ground Coriander, Ground Nutmeg, Pepper, Mustard Flour","eggs, gluten, mustard, pork",,united kingdom,1 Burger(100g),e,314.0,24.0,8.9,9.9,0.7,1.1,13.9,1.66
0009542030407,Lindor kosher mini egg truffles assorted chocolate,Lindt,"snacks, sweet snacks, confectioneries","Sugar, vegetable oil (coconut, palm kernel), cocoa butter, chocolate, milk, lactose, skim milk, milkfat, soy lecithin (emulsifier), barley malt powder, artificial flavors.",milk,,united states,4 eggs (34 g),e,617.64705882353,50.0,35.294117647059,41.176470588235,41.176470588235,2.9411764705882,2.9411764705882,0.14705882352941
00103350,Sultana scones,Marks & Spencer,"snacks, sweet snacks, biscuits and cakes, sweet pastries and pies, cakes, viennoiseries, brioches","Farine de blé contient Gluten (avec Farine de blé, Carbonate, de calcium, Fer, Niacine, Thiamine) • Raisins de Smyrne i (21 %) • Babeurre (Lait) (12%) • Beurre (Lait) (12%) • Sucre Œufs de pc ut es élevées en plein air pasteurisés • Poudre à lever : E450, : B bonate de soude • Crème caillée (Lait) • Graisse de palme • n de blé (contient Gluten). s allergènes, voir les ingrédients indiqués en gras. RTANT Pour éviter tout risque d'étouffement, garder nEallage hors de portée des nourrissons et jeunes enfants. RVATION","gluten, milk",,"france, united kingdom",,e,357.0,13.0,8.5,52.7,19.9,2.4,6.2,1.3
00104364,BBQ Beef Jerky,Marks & Spencer,"meats and their products, meats, dried meats, beef jerkies",Viande de bœuf (élaboré avec 180 g de viande de bœuf cru pour 100 g de charqui de bœuf cuit) • Sucre Demerara • Arôme • Purée de tomate • Sel de mer • Sauce soja (Fèves de soja • Eau • Sel • Vinaigre) • Vinaigre de cidre • Poivre noir grossièrement moulu • Paprika fumé • Concentré de pomme • Ail déshydraté • Oignons déshydratés • Cumin moulu • Origan • Piment de la Jamaïque.,soybeans,"no gluten, source of proteins, high proteins","france, united kingdom",25g,e,308.0,5.6,2.3,25.4,21.3,0.6,38.8,3.43
0011110004635,Semi-Sweet Chocolate Chip Ice Cream,Private Selection,"desserts, frozen foods, frozen desserts","Ice cream - milk, cream, sugar, corn syrup, whey protein concentrate, propylene glycol monoesters, natural and artificial flavor, guar gum, cellulose gel, mono - and diglycerides, locust bean gum, cellulose gum, carrageenan. chocolate chip - semi-sweet chocolate (sugar, chocolate liquor processed with alkali, cocoa butter, milk fat, soy lecithin, natural and artificial flavors), partially hydrogenated soybean oil.",,,united states,0.666 cup (109 g),d,275.229357798165,17.4311926605505,9.1743119266055,28.4403669724771,22.9357798165138,0.917431192660551,3.6697247706422,0.115730999074152
0011110028051,100% Whole Grain Quick Cook Instant Oats,simple truth,"plant based foods and beverages, plant based foods, breakfasts, cereals and potatoes, cereals and their products, breakfast cereals, flakes, cereal flakes, rolled flakes, rolled oats, quick cook rolled oats","ORGANIC WHOLE GRAIN ROLLED OATS. DISTRIBUTED BY THE KROGER CO. CINCINNATI, OHIO 45202 CERTIFIED ORGANIC BY QUALITY ASSURANCE INTERNATIONAL (QA)",,"organic, no gmos, usda organic, non gmo project","france, united states",40g,a,375.0,6.25,0.0,67.5,2.5,10.0,12.5,0.0
0011110038333,Non-dairy sour cream,The Kroger Co.,,"prepared butter beans and oats (water, organic butter beans, organic oats), organic coconut oil, organic gum arabic, organic cultured dextrose, sea salt, calcium citrate, kunjal root powder, organic citric acid, lactic acid.",,"no gluten, organic, vegetarian, usda organic, vegan",france,,,142.8571,12.5,10.7143,7.1429,0.0,3.5714,0.0,0.71428575
0011110048677,CLASSIC CAESAR DRESSING,Kroger,"condiments, sauces, salad dressings","soybean oil, water, lowfat buttermilk (cultured lowfat and skim milk, salt, tapioca starch, locust bean gum, carrageenan), distilled vinegar, parmesan cheese (cultured part-skim milk, salt, enzymes), sugar, contains 2% or less of cream powder (cream, soy lecithin, bha [to protect color]), salt, rochester sauce (distilled vinegar, corn syrup water, salt, garlic powder, spices, tamarind, natural flavors), maltodextrin, egg yolk, romano cheese from cow's milk (cultured pasteurized part-skim milk, salt, enzymes), lemon juice concentrate, lactic acid, dried garlic, dried onion, spices, xanthan gum, disodium inosinate, disodium guanylate, modified corn starch, natural flavor, cultured whey, sodium benzoate and potassium sorbate (preservatives), calcium disodium edta (to protect flavor). contains: milk, egg, soy. distributi 2. please",,no artificial flavors,united states,,e,433.333333333333,43.3333333333333,8.33333333333333,6.66666666666667,3.33333333333333,0.0,3.33333333333333,2.5
0011110080264,"Petite Red Potatoes with Smoked Gouda, Onion & Thyme",Private Selection,frozen foods,"Potatoes, gouda cheese flavor (maltodextrin, whey solids, natural flavor, salt), onion, garlic, spices, salt, dried cream extract (maltodextrin, natural cream flavor), dried cane syrup (dried cane juice, cornstarch), butter flavor (whey solids, enzyme modified butter, maltodextrin, salt, dehydrated butter, guar gum, annatto, turmeric), contains 2% or less of lactic acid, smoke flavor.",,,united states,0.5 cup (113 g),b,88.4955752212389,0.0,,20.4,0.884955752212389,,1.76991150442478,0.132743362831858
